1	25.73	37.28	28.38
2	25.9	37.4	28.75
3	25.53	35.74	29.75
4	27.04	34.25	28.0
5	27.79	33.87	27.69
6	28.22	33.95	27.56
7	28.44	34.03	27.38
8	28.54	34.25	27.31
9	28.55	34.71	26.88
10	28.55	34.98	26.75
11	28.53	35.28	26.5
12	28.5	35.71	26.44
13	28.47	36.14	26.25
14	28.42	36.36	26.12
15	28.38	36.49	26.0
16	28.31	36.91	25.88
17	28.29	36.89	25.44
18	28.21	37.05	25.5
19	28.19	37.21	25.44
20	28.2	37.24	25.38
21	28.13	37.21	25.19
22	28.05	37.44	25.0
23	28.0	37.57	24.81
24	27.9	37.68	24.62
25	27.8	37.84	24.44
26	27.75	37.99	24.12
27	27.72	38.16	23.81
28	27.63	38.44	23.94
29	27.54	38.57	23.38
30	27.48	38.86	23.81
31	27.38	39.08	23.38
32	27.27	39.21	23.06
33	27.23	39.37	22.94
34	27.15	39.48	22.88
35	27.09	39.75	22.62
36	26.97	39.97	22.0
37	26.94	40.13	21.94
38	26.83	40.17	21.88
39	26.8	40.5	22.25
40	26.73	40.61	22.0
41	26.67	40.84	21.62
42	26.57	41.05	21.31
43	26.49	41.17	21.19
44	26.42	41.35	21.81
45	26.34	41.55	22.81
46	26.29	41.65	21.88
47	26.24	41.77	21.25
48	26.15	41.86	21.38
49	26.08	42.09	21.38
50	26.09	42.11	21.31
51	25.99	42.2	21.38
52	25.92	42.39	21.19
53	25.87	42.55	21.19
54	25.83	42.71	20.81
55	25.82	42.74	20.75
56	25.74	42.94	20.69
57	25.74	42.97	21.31
58	25.65	43.16	21.44
59	25.6	43.25	21.31
60	25.58	43.24	21.5
61	25.52	43.39	21.19
62	25.46	43.51	21.06
63	25.4	43.56	21.38
64	25.4	43.62	21.19
65	25.33	43.78	20.94
66	25.28	43.88	22.06
67	25.24	44.01	20.44
68	25.2	44.02	20.25
69	25.16	44.09	20.25
70	25.12	44.19	20.0
71	25.02	44.47	19.88
72	24.94	44.56	19.88
73	24.92	44.57	20.38
74	24.93	44.52	20.5
75	24.88	44.65	20.5
76	24.86	44.64	20.81
77	24.93	44.52	20.94
78	25.0	44.32	21.88
79	25.0	44.28	22.0
80	25.09	44.18	22.12
81	25.07	44.28	22.38
82	25.12	44.24	22.56
83	25.2	44.19	22.75
84	25.26	44.11	22.94
85	25.27	44.13	22.94
86	25.33	44.08	23.62
87	25.48	43.84	24.0
88	25.59	43.84	24.38
89	25.82	43.41	25.44
90	25.98	43.31	28.38
91	26.12	43.33	31.19
92	26.44	43.17	29.31
93	26.81	43.01	31.94
94	27.26	42.88	32.56
95	27.88	42.36	33.0
96	28.31	42.41	30.56
97	28.58	42.23	29.88
98	29.02	41.89	34.25
99	29.52	41.59	33.38
100	29.95	41.45	35.44
101	30.4	41.36	33.62
102	30.97	40.84	33.44
103	31.54	40.44	34.94
104	32.09	40.2	37.56
105	32.54	40.15	37.69
106	33.14	39.79	36.75
107	33.8	39.44	35.56
108	34.42	39.29	38.0
109	35.03	38.84	37.31
110	35.71	38.53	38.62
111	36.33	38.07	39.5
112	36.94	37.78	36.0
113	37.62	37.24	38.62
114	38.53	36.31	37.62
115	41.48	32.0	38.06
116	42.6	30.83	39.62
117	43.11	30.53	37.25
118	44.28	29.39	38.12
119	44.89	28.86	39.38
120	45.46	28.31	39.44
121	46.15	27.73	40.19
122	46.79	27.19	40.31
123	46.76	27.61	36.44
124	47.51	26.89	38.94
125	48.48	25.89	40.38
126	48.76	25.65	40.19
127	48.94	25.87	39.19
128	49.63	25.08	40.94
129	50.04	24.7	40.38
130	50.44	24.47	40.0
131	49.54	25.74	37.69
132	48.42	27.4	37.0
133	49.1	26.74	39.44
134	49.03	27.01	39.19
135	47.29	29.47	36.94
136	45.29	32.61	33.81
137	44.25	34.35	35.75
138	43.56	35.54	34.31
139	43.03	36.39	35.69
140	42.85	36.55	36.75
141	42.54	37.03	35.0
142	42.36	37.28	37.12
143	42.16	37.54	35.12
144	41.81	38.05	35.0
145	41.39	38.81	32.69
146	40.81	39.66	31.56
147	40.08	40.61	30.25
148	39.47	41.31	29.81
149	38.88	42.13	29.25
150	38.32	42.92	28.56
151	37.83	43.28	28.5
152	37.33	44.15	28.31
153	36.9	44.66	28.5
154	36.54	45.01	28.44
155	36.22	45.07	27.38
156	35.92	45.37	27.25
157	35.58	45.71	26.88
158	35.32	45.93	27.0
159	35.06	46.14	26.94
160	34.82	46.46	26.38
161	34.58	46.51	26.25
162	34.36	46.76	26.25
163	34.16	46.86	26.0
164	33.98	46.97	26.12
